2021-06-02 01:31:03,003:DEBUG:db_model:Database 'StockMarket' connected successfully.
2021-06-02 01:31:03,006:INFO:__main__:Program started.
2021-06-02 01:31:03,006:DEBUG:config_reader:Searching for config file in '/Users/atcha/Github/Projeto-Final/config/config.json'.
2021-06-02 01:31:03,007:DEBUG:config_reader:Config file found.
2021-06-02 01:31:03,022:DEBUG:db_model:Database 'StockMarket' connected successfully.
2021-06-02 01:31:03,037:INFO:config_reader:Ticker, Inital Date, Final Date:
2021-06-02 01:31:03,037:INFO:config_reader:'AALR3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,038:INFO:config_reader:'ABCB4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,038:INFO:config_reader:'ABEV3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,038:INFO:config_reader:'AFLT3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,038:INFO:config_reader:'AGRO3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,038:INFO:config_reader:'ALPA3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,039:INFO:config_reader:'ALPA4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,039:INFO:config_reader:'ALPK3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,039:INFO:config_reader:'ALSO3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,039:INFO:config_reader:'ALUP3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,039:INFO:config_reader:'ALUP4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,039:INFO:config_reader:'AMAR3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,040:INFO:config_reader:'ANIM3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,040:INFO:config_reader:'APER3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,040:INFO:config_reader:'ARZZ3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,040:INFO:config_reader:'ATMP3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,040:INFO:config_reader:'ATOM3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,040:INFO:config_reader:'AZEV3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,041:INFO:config_reader:'AZEV4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,041:INFO:config_reader:'AZUL4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,041:INFO:config_reader:'B3SA3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,041:INFO:config_reader:'BALM3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,041:INFO:config_reader:'BALM4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,041:INFO:config_reader:'BAUH4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,042:INFO:config_reader:'BAZA3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,042:INFO:config_reader:'BBAS3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,042:INFO:config_reader:'BBDC3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,042:INFO:config_reader:'BBDC4', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,042:INFO:config_reader:'BBRK3', '2014-01-01', '2021-06-02'
2021-06-02 01:31:03,042:INFO:config_reader:'BBSE3', '2014-01-01', '2021-06-02'
